fecha,tipo,modificador,veces,renglones,unidades_afectadas
2026-03-17,EXTRA,Frijoles,1,1,2.00
2026-03-17,EXTRA,Huevo Estrellado Medio (2 pzas.),3,3,3.00
2026-03-17,EXTRA,Huevo Estrellado Tierno (2 pzas.),1,1,1.00
2026-03-17,EXTRA,Huevo Revuelto (2 pzas.),2,2,2.00
2026-03-17,EXTRA,Queso,5,3,4.00
2026-03-17,EXTRA,Relleno de Guisados,1,1,1.00
2026-03-17,PETICION,En dos platos,1,1,1.00
2026-03-17,PETICION,Escurrida,2,2,7.00
2026-03-17,PETICION,Frijoles Aparte,1,1,1.00
2026-03-17,PETICION,Poca Lechuga,4,4,5.00
2026-03-17,PETICION,Sin Aguacate,1,1,1.00
2026-03-17,PETICION,Sin Crema,4,4,5.00
2026-03-17,PETICION,Sin Lechuga,1,1,1.00
2026-03-17,PETICION,Sin Queso,1,1,1.00
2026-03-17,PETICION,Sin Tomate,4,4,4.00
2026-03-17,PETICION,Sin Verduras,2,2,2.00
2026-03-17,PETICION,Verdura Aparte,1,1,1.00
2026-03-17,VARIANTE,Coca Cola,2,2,6.00
2026-03-17,VARIANTE,Coca Cola Sin Azúcar,1,1,6.00
2026-03-17,VARIANTE,Coca Light,1,1,1.00
2026-03-17,VARIANTE,Crema,1,1,1.00
2026-03-17,VARIANTE,Escuis Manzana,1,1,2.00
2026-03-17,VARIANTE,Leche Aparte,1,1,1.00
