periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2025-06,Refresco 600 ml.,Bebida,ORDEN,494.00,,17927.00,17927.00,157,0,0,36.29
2025-06,Salsa Verde,Guarnicion,ORDEN,44.00,,39.00,39.00,19,0,0,0.89
2024-11,Empanadas (4 pzas.),Empanada,ORDEN,135.00,,17563.00,17518.00,132,32,48,130.10
2025-11,Café Negro,Bebida,ORDEN,313.00,,10968.00,10968.00,31,0,0,35.04
2023-12,Café Negro,Bebida,ORDEN,221.00,,6663.00,6666.00,30,0,0,30.15
2023-09,Refresco 355 ml.,Bebida,ORDEN,60.00,,1740.00,1740.00,21,0,0,29.00
2024-09,1/2 Enfrijoladas,Enfrijolada,ORDEN,17.00,,1860.00,1860.00,15,9,7,109.41
2023-11,Pieza Entomatada,Entomatada,ORDEN,1.00,,20.00,20.00,1,0,0,20.00
2025-06,Huevos a la Mexicana,Huevos,ORDEN,55.00,,6325.00,6325.00,25,0,0,115.00
2026-01,Orden de Guisado Normal,Guarnicion,ORDEN,13.00,,1495.00,1495.00,12,0,0,115.00
2024-07,1/2 Enmoladas,Enmolada,ORDEN,47.00,,5361.75,5381.00,41,31,3,114.08
2025-11,Limón 1 Litro,Bebida,ORDEN,32.00,,2055.00,2055.00,19,0,0,64.22
2026-03,Huevos con Deshebrada,Huevos,ORDEN,55.00,,7548.00,7548.00,23,0,0,137.24
2024-02,Pieza Encremada,Encremada,ORDEN,1.00,,48.00,48.00,1,1,0,48.00
2026-04,Orden Huevos Revueltos,Huevos,ORDEN,5.00,,636.00,636.00,5,0,0,127.20
2024-09,Enchiladas Picositas,Enchilada,ORDEN,32.00,,5351.00,5351.00,28,22,2,167.22
2024-05,Jamaica Vaso,Bebida,ORDEN,358.00,,11103.35,11108.00,31,0,0,31.01
2025-03,Pieza Tortilla de Harina,Guarnicion,ORDEN,8.00,,40.00,40.00,4,0,0,5.00
2024-10,Orden Huevos Estrellados,Huevos,ORDEN,10.00,,1070.00,1070.00,9,0,0,107.00
2024-05,Limón Vaso,Bebida,ORDEN,433.00,,13432.70,13473.00,31,0,0,31.02
2024-10,Bocoles Surtidos,Bocol,PIEZA,4.00,17.00,306.00,306.00,4,0,0,76.50
2024-07,Porción Frijol con Queso,Guarnicion,ORDEN,8.00,,40.00,40.00,6,0,0,5.00
2024-08,Quesadillas (4 pzas.),Quesadilla,ORDEN,182.00,,22262.00,22262.00,88,7,89,122.32
2025-01,Bocoles,Bocol,PIEZA,2301.00,2301.00,41554.00,41554.00,521,20,9,18.06
2024-07,5 Lts. Aguade Jamaica,Bebida,ORDEN,2.00,,450.00,450.00,1,0,0,225.00
