fecha,extra,producto,porciones,pedidos,unidades,es_segundo_guiso,grupo,agrupado,real
2024-12-17,Bistec (1 pza.),1/2 Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-17,Bistec (1 pza.),Enchiladas Rojas,1,1,4.0,f,,Bistec (1 pza.),t
2024-12-17,Bistec (1 pza.),Enmoladas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-17,Bistec (1 pza.),Entomatadas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-17,Huevo Estrellado Cocido (2 pzas.),1/2 Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-17,Huevo Estrellado Medio (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-17,Huevo Estrellado Medio (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-17,Huevo Estrellado Tierno (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-17,Huevo Revuelto (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-17,Huevo Revuelto (2 pzas.),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-17,Huevo Revuelto (2 pzas.),1/2 Entomatadas,2,2,2.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-17,Huevo Revuelto (2 pzas.),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-17,Huevo Revuelto (p/relleno),1/2 Enchiladas Picositas,1,1,2.0,f,,Huevo Revuelto (p/relleno),t
2024-12-17,Queso,Empanadas (4 pzas.),3,2,2.0,f,,Queso,f
2024-12-18,Bistec (1 pza.),1/2 Enmoladas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-18,Bistec (1 pza.),Enchiladas Picositas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-18,Bistec (1 pza.),Encremadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-18,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-18,Huevo Revuelto (2 pzas.),1/2 Enchiladas Picositas,1,1,2.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-18,Huevo Revuelto (2 pzas.),Enchiladas Mixtas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-18,Huevo Revuelto (2 pzas.),Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-18,Relleno de Guisados,1/2 Enchiladas Rojas,1,1,2.0,f,,Relleno de Guisados,t
2024-12-18,Relleno de Guisados,1/2 Entomatadas,2,2,2.0,f,,Relleno de Guisados,t
2024-12-18,Relleno de Guisados,Enchiladas Picositas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-19,Bistec (1 pza.),1/2 Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-19,Bistec (1 pza.),1/2 Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-19,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-19,Huevo Estrellado Medio (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-19,Huevo Estrellado Medio (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-19,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-19,Huevo Revuelto (2 pzas.),1/2 Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-19,Huevo Revuelto (2 pzas.),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-19,Huevo Revuelto (2 pzas.),Quesadillas (4 pzas.),1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-19,Queso,Empanadas (4 pzas.),6,3,3.0,f,,Queso,f
2024-12-20,Bistec (1 pza.),1/2 Enchiladas Picositas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-20,Bistec (1 pza.),1/2 Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
